,리뷰어,리뷰 날짜,리뷰 텍스트
27,le** ,22.09.07,"보이는 후기만 보고 사이즈표도 얼추 오버핏이길래 구매했습니다!
막 아빠핏이라는 평이 많아서 난 오버핏 나오면 대성공인거다~하고 구매했어요 ㅋヲ
받고 착용해보니 아하!...😳
너무 슬림핏 느낌이길래 뭐지?̊̈ 상품명 다시 보고 후기 다시 보는데 이제야 보이는 다 마른자들..😱
저는 169/82인 슈퍼뚱땡이인데 간과했죠 ㅎㅎ
/""@¥\+!(대충 험한말)
저랑 비슷한 스펙들 보니까 다 핏된다 오버핏 아니다 등
그렇구낭 ㅎㅎㅎㅎ 
근데 질 괜찮고 3만원대에 구매한거치곤 박음질도 좋고 
두께도 생각보다 두꺼워서 겨울에 코트 안에 입으면 딱일거 같아요
이리저리 입어보고 구매확정했어요~
구매하시려는 분들! 스펙 잘 확인하세요!​  !̤̫ !̤̻
옷 상세사이즈보다 비슷한 스펙분들 후기가 더 정확한거 같아요 이거는"
28,pn** ,21.10.19,"가격대비 퀄 좋아용!!!
근데 제가 키가작아서 그런지 좀 크긴커요 코디 잘해서 입으면 스타일리쉬해보이는데 그렇지못하면 아빠옷걸친느낌 ㅠㅠ 그래도 전 너무만족하고 잘 입고다니고있어요 이쁜옷감사해요!!!"
29,oe** ,21.08.28,"가격 대비 굿
핏은 오버핏 수준이 아니고 아빠핏ㅇㅇㅇ
추워해서 아부지가 겉 옷 벗어 준 거 같아 보이는 면이 있음
그래서 입을랑말랑 하게 걸쳐 입어야 함
아직은 더워서 들고 다녔는데 만족

가격대비 질이 좋음
처음 입을 때 정리 안된 실 많으니 열심히 찾아 잘라주고, 구겨진 거 슥 다려주면 아주 고퀄이 됨

무튼 가격이 착해서 만족"
30,s2** ,22.10.02,"입었을 때 핏이 예뻐요 ♡ 

작은 실밥은 정돈하면 될거같구 
옷 안쪽의 약간의 구겨짐도 
입을 때 문제없어서 바로 입고나갔어요 ~ 

팔을 들면 불편해서 그 점이 약간 아쉽지만 
그래도 그것 빼고는 생각한 대로의 
색감에 핏이 예뻐서 소장했어요 ♡ 

잘 입어보도록 할게요 ~ 예쁜 옷 감사합니다 ♡"
31,qs** ,22.04.21,"크롭을 살까 스탠다드를 살까 고민했는데 크롭을 샀으면 좀 짧았다고 생각할정도로 스탠다드가 딱 핏을 잡아줘요
팔길이도 적당하고 원단도 각이 잡혀있어서 지금 딱 입기 좋아요.
다만 이런 디테일들은 좀 아쉽네요."
32,dh** ,22.04.17,요즘 다 길게 나오는 자켓이 대부분인데 키가 작아서 정사이즈 자켓이 있으면 좋겠다는 생각에 찾았어요! 길이랑 품이 적당해서 아주 좋아요! 몸통?부분은 좀 큰 감이 있지만 그래도 이정도는 괜찮은 것 같아요. 근데 배송 받았을 때부터 몸통부분에 점박이?처럼 뭔가 찍혀있는 느낌이 들었는데 다림질해도 소용이 없더라구요. 그리구 빳빳한 느낌의 소재라 그런지 카라 부분이 접힌채로 고정이 잘 안돼서 마찬가지로 다림질했는데도 잘 해결이 안되더라구요. 교환하기 귀찮아서 그냥 입긴해요...
33,ka** ,22.04.17,"옷은 딱 생각한 그대로입니다~ 키가 좀 작고 아담한 체구이신 분들은 호불호 없이 다 잘 맞을것 같아요~!
엄청 오버핏은 아닙니다! 어깨뽕 과하지않아요
살짝 라인 들어가 있습니다~ 롱스커트, 바지에 다 잘 어울려서 좋아요☺️ 다만 한가지 아쉬운점은 뒤에 엉덩이 부분이 입으면 좀 떠요..(전반적으로 고급스러워 보이는 느낌은 아니고 휘뚜루마뚜루 입는 느낌입니다~)"
34,hy** ,22.04.16,"기본적인 자켓 사고싶었는데 만족합니다!
두께가 생각했던 것 보다 두꺼워서 좀만 더 지나면 못입을 것같아요! 진짜 봄 가을?에 엄청 춥지도 덥지도 않은 적당한 날씨에 좋을 듯해요
기장은 엉덩이 안 덮고 엄청 짧지도 않아요 적당!"
35,le** ,23.03.18,"색감이 회갈색 느낌에 아이브로우 색상에서
찾아볼 수 있는 색상이라 뭐라 설명드리기
어렵지만 사진에 나온대로 여기저기 돌아다닐 때마다
햇빛, 조명에 따라 색감도 많이 바뀌더라구요 😓

그래도 무난하게 입고 다니기 좋았고 무엇보다
시크하면서도 따순느낌을 줘서 귀엽게 입기에도,
도도하게 입기에도 좋을 거 같았어요!

남자친구 보러 가는 날 급하게 주문했는데
구김도 적었고 냄새 제로, 찰랑이는 재질이에요!
잘 구겨지는 재질은 아닌거같고 생각보다는 도톰했어요!"
36,ru** ,23.10.12,"(수정 : 여러분, 옷 마감 확인 제대로 하세요ㅠ 전 손목 부분 박음질 엉망입니다ㅠㅠㅠ 길이도 안 밎아요ㅠ)
배송 빨랐습니다. 옷 퀄리티 나쁘지 않습니다.
얇지 않고 조금 두깨감이 있어서 가볍지는 않아요.
핏도 괜찮고, 소재가 몸에 닿는 느낌도 괜찮아요.
다만, 처음 오픈했을 때
실밥 + 얇은 실 뭉치? 뭐 다양하게 붙어 있었고, 소매 쪽 박음질? 마감이 제대로 안 되어 있어서 보이는 내부 실 색상이 막 노랑, 파랑이었나…박음질 실 색상이 화려해서 놀랐어요!


마감 부분만 제외하면 옷은 만족합니다! "
37,nl** ,23.10.07,"저번에 자켓 두가지 샀었는데 너무 잘입고다녀서 직진배송으로 시켰어요. 이전 꺼랑 디자인이 바뀐건지 직진배송만 다른건지 모르겠으나 손목쪽 디자인이 약간 다르고 만졌을때 재질이 약간 다른 느낌이 들어요. 두께는 유의미한차이는 아니고 0.01~2정도 두꺼운느낌? 제가 169인데 딱 핏한 느낌도 아니고 그렇다고 퍼지는 느낌도 아니고 딱중간 기본 핏에 편해서 너무 좋아요.  마르신분들은 약간~크다고 느끼실수도 있을것 같네요. 길이도 엉덩이 반쯤 덮어서 그것도 맴에 듬. 
캐주얼틱한 자켓이라 캐주얼에 입기도, 정장처럼 차려입기도 좋아서 진짜 추천합니다. 봄,가을 뽕뽑고 입고다닐수있어요ㅋ"
38,rh** ,23.10.06,"길이도 품도 넉넉해요!! 저는 어깨가 있는 55사이즈인데 작은 걸 할까하다가 리뷰보고 안에 조금 두꺼운 옷 입으려면 큰거 해도 되겠다 싶어서 넉넉한 사이즈로 선택했어요! s사이즈 했으면 어깨 딱 맞는 길이는 좀 긴 자켓이 되었을 것 같아요 그것도 예쁠 것 같지만 고민 많이 하다가 오버핏이 없어서 M으로 선택했어요 :) 
어깨가 깡패처럼 더 넓어보이긴 하지만 😅 그래도 오버핏인만큼 그 느낌대로 입어보려구요 
170에 팔이 긴편인데 기장은 잘 맞아요!"
39,ls** ,23.10.03,"색상은 화면과 동일한데 리뷰처럼 실밥이 엄청 많았고 생각보다 팔소매 박음질이 단단하지 않아서 제가 대충 양쪽 소매 박음질 한번더 해서 입었어요 
163/60 기준 s로 잘못 시켰는데 ㅋㅋ 딱 맞아서 그대로 입고 있습니다ㅋㅋ 그래도 살더 빼서 오버핏으로 입을래요! "
40,bn** ,22.04.12,"<장점에도 단점에도 안들어가는...>
1. 색감차이가.. 많이나요 사진보고 그레이 위주의 먼지먹은 카키색일 줄 알았는데 엄청!!! 초록빛 돌아요 카키 90 그레이 10의 물빠진 야상색? 올영같은 특정 조명에서 보면 그나마 상세컷이랑 비슷한 색감이 나와요 그레이쉬한 브라운카키 아닙니다,, 저는 오히려 좋아가 됐지만 쇼핑몰 색감 생각하고 구매하시면 실망하실듯해요 두번째와 세번째 사진 사이의 색감입니다
2. 카라가 목 위로 꽤 올라와요 하프넥이랑 비슷한 높이로 올라오기 때문에 목이 짧으신 분들께는 비추입니다
3. 얇아서 지금 입기 딱!!! 좋아요 

<장점>
1. 핏이 좋아요 어깨선이 딱 잡혀있어서 깔끔합니다 기장도 딱 골반쯤에서 끊기는 예쁜 기장이라 다리가 길어보여요
2. 품이 여유로워요 팔뚝살 있는 80c인데 팔통 가슴 모두 여유롭고 낀다는 느낌이 안들어요
3. 등쪽에 안감 여유분 있어서 활동성을 고려한 것도 좋아요
4. 옷걸이 걸어서 비닐포장해서 박스에 담겨옵니다

<단점>
1. 천이 좋은 원단은 아니라 받았을때부터 살짝 핀듯한 천이에요 디자인은 마음에 드는데 입다보면 금방 후줄근해질듯해요 어떤분 후기처럼 가격이랑 퀄리티를 같이 올렸으면 좋았을듯한 아쉬움이 남습니다ㅠㅠ
2. 품이 커서 좋긴 한데 너무 커요 옆에서 보면 퍼져서 종모양 같아보여요 품이 좀 잡혀있으면 훨씬 예뻤을 것 같아요(옆모습 사진은 밝기조절 했습니다)
3. 한번 입고 운전하고 장보기 정도만했는데 팔에 접힌 자국 났어요 얇아서 그런가,,,, 주름에 주의하셔야할듯..?
4. 주머니가 없어요"
41,kk** ,22.03.28,크롭 기장이구 얇아요 !! 날씨 15~20도쯤 입어야 좋을거같아요 색감은 생각했던거보다 조금 어두워서 반품할까했는대 그냥 입어요ㅠ 청바지보다는 검정바지랑 더 잘어울려요 약간 세로줄 결이 보이는 재질이예요
42,en** ,23.04.27,살까말까하다 샀는데 잘샀어요 실물이 훨씬 예뻐요 얇고 가벼워서 쓱 걸치기 좋겠더라구요 갑자기 쌀쌀해져서 못입었는데 여름까지 가능할 것 같아요 걱정 많이했는데 입어보면 훨씬 낫습니다 너무 이뻐요
43,xi** ,23.09.17,무난하고 예뻐요! 어떤 옷에든 잘 어울릴 것 같아요. 놀러갈 때도 출근할 때도 잘 활용할 수 있을듯하네요. 생각보다 얇은 느낌이긴한데 이보다 두꺼우면 이 핏 안나올 것 같아요.. 만족합니다!
44,hj** ,23.09.17,빳빳한 소재일 줄 알았는데 부드러운 소재여서 오히려 좋아!키도 몸집도 작아서 핏 되는 옷 특히 외투 찾기가 쉽지 않은데 남의 옷 얹은 것 같이 않고 내 옷 같아서 첫 번째 만족스러웠습니다. 색감도 사진 그대로 시크해서 두 번째 만족했어요. 짧은 가을 놓치지 않고 요 자켓이랑 잘 보낼게요 :)
45,dn** ,23.08.24,"블루 색상이 마음에 들어서 내추럴도 구매했습니다!
블루는 m이었고 내추럴은 s샀는데,
m은 널널했고 s가 확실히 타이트한 느낌은 있더라구요~
그런데 단추 부분이 꼼꼼하지는 않은 것 같아서 살짝 아쉬워요!
그래서 1개정도 여분의 단추가 옷 안에 달려있으면 어떨까 싶습니다 :)"
