,리뷰어,리뷰 날짜,리뷰 텍스트
101,mo** ,22.10.13,"추석 세일때 3.2에 샀습니다. 그 당시에도 후기가 좋아서 후기들 믿고 샀어요. 가격이 왜 저렇게 싼가 했는데, 타 브랜드 자켓에 비해 옷감의 밀도가 낮아서 주름이 꽤 남는 소재입니다. 재질이 썩 좋은 편은 아니지만, 스팀 다리미로 다리면 주름은 잘 없어져요. 단추가 쇠뿔 단추가 아닌 플라스틱입니다. 하지만 양쪽 주머니 모두 실제 주머니이고, 가슴 안 쪽에도 포켓 있습니다. 원단이랑 부자재에서 원가 절감을 하면서 핏이나 만듦새는 퀄리티가 그럭저럭 괜찮습니다. 가성비 좋아요.
어깨뽕이 좀 두툼해서 아빠 양복 자켓 핏이지만, 요즘 오버핏이 꾸준히 유행이라 만족합니다. 크게 입는게 처음엔 어색해도 실루엣만 잘 잡으면 괜찮더라구영
전 챠콜 구매했는데, 자연광 밑에서 보면 초록빛이 도는 진회색이에요. 초록빛이 살짝 나서 빈티지한 코디와 잘 어울립니다. 산 이후로 일주일에 한 번씩은 꼭 입는 것 같아요.
살까말까 고민하신다면, 세일할 때!! 구매하시는 것으로 추천드려요. 6만원 퀄리티는 아니고 세일가에 사면 딱 적당한 퀄리티 같습니다ㅎㅎ"
102,je** ,22.09.22,"저는 솔직히 아우터는 비싼거 입어야한다 주의라서 웬만하면 이런 쇼핑몰에서 자켓은 잘 안사는 사람입니다. 근데 솔직히 놀라고 괜찮은 부분이 많아서 이렇게 후기를 남겨요! 결론적으로 다른 색 재구매 의사 있습니다.

색상 : 전반적으로 쿨톤에게 적합한 노란끼 적고 회끼도는 베이지 색 입니다! 생각보다 어둡다는 후기가 회끼가 돌아서 있는 것 같아요:)

핏 : 55-66에게는 적당한 오버핏인 것 같습니다! 너무 몸이 왜소하신 44정도의 분들은 많이 클 것 같아요. 팔뚝살이 많은 저인데 팔뚝이 널널하게 잘 맞아요. 어깨에 패드가 들어가있어서 어깡으로 보이는 느낌은 좀 있는데, 오버핏이라는 점에서 어깡으로 보이는 느낌은 당연한 느낌인 것 같습니다 :)

퀄리티 : 물론 다른 10만원대 이상의 자켓과는 비교할 수 없겠지만, 10만원 미만의 자켓 중에서는 최고인 것 같습니다. 일단 자켓에서 제일 중요한 카라부분이 확실하게 눌려있고, 대칭도 잘 맞았어요. 무엇보다 자켓에 텍이 옷핀으로 달려있는 점, 자켓 안쪽 주머니가 있고 잘 디자인 되어있다는 점이 좋은 것 같습니다."
103,ha** ,22.09.22,가격도 저렴하고 베이지 자켓도 없어서 구매해봤는데 대대만족입니다 .. 🫶🏻 완전 기본에 살짝 오버핏이라 핏도 너무 예쁘구 탄탄하니 재질도 좋아용 검은색도 하나 살까 고민중입니드 다들 주저말고 구매가세용
104,th** ,22.09.14,"후기보고 고민도 안하고 시켰는데 너무 좋네요...
너는 어깨가 좁아서 어깨패드 들어간 옷을 좋아하는데 이거 최고에요 ㅜㅜ 다만 제가 샀을때는 세일을 많이해서 3만원 중반대얐는데 조금 비싸졌네여 하지만 퀄리티가 좋으니까 차콜도 시키러가겠습니다"
105,sy** ,23.11.09,"체구가 작고 어깨도 많이 좁은 편이라서
핏이 딱맞게 떨어지진않아요~ 팔도 조금 길어서
반품할까 조금 고민했는데, 약간 두께있는 옷이랑 같이 입으면 괜찮을것같기도하고
정안되면 팔길이 조금 수선해서 입으면될것같아요
어차피 핏 딱맞는 옷도 찾기가 힘들어서욥 

사이즈 말고는 다 괜찮아요
옷 질감?이나 마감, 입었을때 까슬거리지도 않고요~
가격생각했을때 좋은 옷인것같습니다~!"
106,lm** ,23.11.06,가격이 저렴한 편은 아니라 고민 진짜 많이 했는데 이 마음으로 다른 거 사기도 싫어서 쿠폰 있을 때 얼른 구매했습니당!!! 결론은 대만족이에요. 어깨가 넓은 편이라 너무 오버핏은 부담스럽고 너무 슬림핏은 또 제가 원하는 게 아니었는데 딱 제가 생각하던 그 자켓이에요. 색도 넘 예쁩니당 ㅠㅠ 추천할게요
107,1t** ,23.11.14,"자켓 자체가 탄탄하진 않습니당 목에닿는 부분도 까슬거려서 저녁되면 좀 쓸린것같이 아팠어요
근데. 색이 진쟈 이뻐요.,,, 완전 가을 그 잡채   단풍구경하러가기엔 딱이었습니다"
108,fu** ,23.11.08,"내가 찾던 기장이에요~ 키가 큰편이 아니라 딱 이정도 기장 원했는데 디자인은 너무 이뻐요 다만 처음에 입고 있을때 목이 좀 까끌까끌? 간지러워요~ 
원다는 soso 디자인은 100맘에 들어여"
109,ha** ,23.11.05,"결혼식이 있기도 하지만 너무 이뻐서 구매했어용 ㅎㅎ 키가 작아서 집에있는 70정도 되는 길이의 자켓을 입어보고 던져놨는데 이건 딱 만족스러운 길이였어요! 더 짧았다면 추웠을 것 같고 더길었다면 다리가 짧은 핏으로 나왔을텐데 여러모로 디자인, 핏 다 맘에 드는 제품이라서 카키도 쟁여야하나 고민이 많이 되는데 잘입을 것 같아서 구매하려고요~! 이쁘게 잘입을께요~^^"
110,yu** ,21.04.21,플리츠스커트랑 세트로 입고싶어서 산건데 왜 이제야 샀는지 참 후기보니까 옷걸이랑 같이온다해서 신기했는데 진짜 옷걸이에 딱 예쁘게 와서 한 번 더 반했어요ㅠㅠ 블랙업에서 옷 처음사보는데 다음에 또 구매할거같아요 질도 진짜 좋고 어깨뽕이 있어서 살짝 어깡느낌나지만 어떡해요ㅠㅠ 넘 예뿐걸요?? 만드신분 들숨에 재력 날숨에 건강얻으세요:)
111,yu** ,21.03.14,"셋업으로 구매했는데
자켓이 딱 이뻐요!!
보통 제 체구에 다른 크롭자켓 사면 애매하게 크고 그래서 반품하는 경우가 많았는데 블랙업껀 정말 잘 맞고 이쁘네요퓨ㅠㅠ
색상도 잘빠졌습니당
세트로 구매하시는 거 추천드려요!"
112,ha** ,21.02.15,길이도 딱 원하는데로 딱 떨어져서 진짜 마음에 들어요! 재질이 살짝 얇은감이 있나 했는데 입어보면 얇다는 생각이 안나고 부드럽고 좋습니다.  곧 봄이 오는데 입기 딱 적당한것 같아요ㅎㅎ 어깨에 패드까지 있어서 핏도 예쁩니다~
113,wj** ,21.01.13,"어깨뽕이 너무 과하지 않을까 생각했는데 하나도 과하지않았고 핏이 너무 예뻤어요 특별한 날 입었는데 진짜 분위기 바로 압살해버리는 그런 느낌이에요 엄청 고민하면서 샀는데 왜그랬나 싶어요 살짝 얇지만 실내에서 입은거라 아무렇지 않았숩니당  ◡̈ 그리고 크롭이여서
되게 허리도 잘록해보이고 정장룩이지만 세상 힙해요"
114,ks** ,21.09.25,"롤리 셋업 수트 사고 싶은데 도미닉 슬랙스가 이미 있으신분들!!!!
롤리 슬랙스가 짧을까 봐/길까 봐 도미닉 슬랙스 사려는 분들!!!!

롤리랑 도미닉 원단 똑같습니다
다르더라도 육안으로 구분 안될 정도로 비슷해요
셋업으로 입어도 전~~~혀 티나지 않아요
(두번째 사진 참고)

원단은 챠르르 떨어지는 느낌이고 힘 있는 아우터 자켓 원단이 아니에요 흐물거리는 느낌은 3-4번 사진 참고하세용

봄 여름 가을에 잘 입을 것 같구 겨울엔 추울 듯합니다!
일단 바지가 꽤 얇아서…

착용감은 나시랑 입어도 산뜻하게 입을 수 있는 정도입니다 좋아요 굿굿"
115,ru** ,22.10.04,"배송 : 후기에 다 느리다고했는데 저는 바로 배송 시작해서 하루만에 와서 좋았어요

퀄리티 : 6만원대 가격의 옷인데 마감이 정말 실망스러워요. 마감이 두군데가 사진처럼 되어있어서 문의했더니 일단 회수해서 확인하고 불량이 아니면 제가 배송비 부담해야된다고하더라구요.  마감이 사진처럼 되어있어도 정상제품이라고 하면 제가 배송비 내야하니 걍 입으려구요....ㅋㅋㅋ
싼 값도 아니고 신경 좀 써주시면 좋을 것 같아요.
(정상으로 마감된 부분이랑 비교하면 정말 차이가 많이나요..)

사이즈 : 160 / 48 기준 넉넉하고 핏이 딱 좋아요 가을이나 봄에 입기 좋을 것 같아요. 사진처럼 길이는 엉덩이 반절은 안가리는 정도예요. 
옷 끝부분?이라고해야하나 그부분 줄 쪼여서 입으면 더 핏이 예뻐서 좋아요 

지퍼 : 저는 지퍼 아무렇지도않았어요! 올리고 내리는것도 크게 걸리는거 없었어요

마감처리만 아니였다면 별 다섯개!!!인데...
가격대있는데 마감이 이런식이라 매우실망해서 별 하나 깎았어요."
116,me** ,22.05.04,"인기제품이라 이곳 구매상품 3개중 가장 마지막에 왔어요ㅠ 난쟁이에겐 소화하기 쉽지 않더만요.. 지퍼를 올리면 자칫 회사원 아부지 st, 소매도 길고.. 아쉽고 슬픈 건 옷걸이인 저이겠지요.. 그래도 옷은 마감도 깔끔하고 옷걸이와 비닐에 덮여서 고급지게 와용! 퀼리티에 감탄하고 다음에는 찰떡 제품을 찾아보겠어요"
117,gu** ,22.04.07,"3/14 구매 - 4/5 배송완료
진짜 배송은... 날씨가 막은 구매취소입니다. 아직 저것만 입기엔 추울 것 같아서 냅뒀는데 날씨에 얼추 맞춰서 도착했어요.
기다리는 동안 다른 분들의 후기가 제 마음을 달래줬어요. 고맙습니다.. 기다릴 가치가 있나 의심될 때 후기 많이 봤어요.
신기한 옷이에요. 박스 열었는데 너무나 간장공장 공장장 같아서 우짜냐 싶었는데 막상 입으니까 예쁘네요..? 물론 멋없이 지퍼 다 잠그면 찐공장장됩니다. 엄마가 공장장님이라고 부르셔요.. 근데 예뻐요 희한..
별 하나뺀 건 아무래도 배송기간이 좀 하.. 인내심 많으신 분들, 타오바오나 알리 익스프레스로 물건 많이 주문해보신 분들에게 추천드려요."
118,no** ,22.03.12,"블루종은 처음 구매해봐서 저한테 별로일까봐 고민했었는데요. 입자마자 너무 잘샀다고 생각했어요!!
퀄리티에 가격도 괜찮은거같아요. 딱 지금 날씨에 입기 좋았어요!! 
다만 아쉬운부분은 지퍼가 원활하게 움직이지 않는다는 점이에요ㅜ 그래도 어찌어찌 잘하면 되긴합니다!"
119,ly** ,22.03.11,"지퍼가 어려우신 분들을 위해 후기 남깁니다.
저도 자꾸 지퍼가 안돼서 혼자 30분정도 끙끙대면서 눈물 머금고 반품하려다가 깨우쳤어요.

첫 번째 사진 지퍼 맨 아랫부분, 제가 연두색으로 칠한 부분 보이시죠?
저 상태인 채로 지퍼 잠그려고 하시면 30분이 돼도 못잠그실거에요 그리고 불량이라고 판단하고 반품신청 하실 수도 있어요 (제가 그랬거든요..)

두 번째 사진처럼 완전 밑 끝까지 지퍼를 싹! 정렬시킨 다음에 잠궈야 부드럽게 올라갑니다.
이렇게 퀄리티 좋고 예쁜 옷을 지퍼때문에 포기해야하나 하고 슬퍼하다가 지금 광명찾고 바로 리뷰 남겨요.

옷 정말 너어무 너무 너무 예뻐요ㅠㅠㅠㅠ
적당히 루즈한 핏이라 이너에 따라 되게 폭넓게 활용될 것 같아요!"
120,do** ,21.12.25,"핏도 예쁘고 길이랑 색도 딱 생각한대로에요
숏코트가 다들 너무 긴것만 있어서 크롭기장 찾다가 얘로 샀는데 좋아요 누빔 추가했는데도 얇아서 요즘 날씨엔 무리ㅜㅜ
다 좋은데 주머니없어서 손시렵고.. 목부분이 너무 억세고 따가워요
그리고!!! 입고 나가서 보니까 손목 딱 보이는부분에 저렇게 오염이 있더라구요 볼펜인지 뭔지..
잠궈입어도 예쁜데 그 사이가 자꾸 벌어져서 단추가 보이긴 합니다"
121,wj** ,21.12.21,"제가 찾던 아방한 핏이라 너무너무 마음에 들어요
옷걸이도 같이 와서 보관하기 좋았고 가격보다 훨씬 퀄리티 있어보여요 단점을 못 찾은 제품👏🏻
컬러는 블랙 같아 보이지만 찐 블랙이랑 비교하면 좀 차이 납니다"
122,22** ,21.11.12,그레이 후기가 없길래 많이!!고민했는데 너무 예뻐요! 포장도 딱 저 상태로 들어있어서 구김 없이 왔고 촉감은 약간 까슬거려요 근데 핏이 진짜 굿 팔통이 여유있지만 몸통쪽은 툭 떨어져서 부해보이지 않아요 키는 158인데 딱 예쁜 크롭기장입니다
123,b_** ,21.11.04,"와아아아아악 진짜 보자마자 꽂혀서 질렀는데 역시 대존예입니다.
저 인쇼 진짜 많이 하는데 아우터 살 때 옷걸이+커버까지 해서 배송 주는 곳 처음 봤어요.. 
거기서 1차 놀랐고 퀄 너무너무 좋아서 2차 놀랐고 입었을 때 핏 너무 예쁘고 귀여워서 3차 놀람
깔별로 쟁여두고싶네요ㅠㅜㅜㅜ"
124,ab** ,20.12.18,귀여워요 안에 안감 있어서 좋네요 앞모습도 예쁜데 이 옷은 옆모습이 맘에 들어요ㅠ호불호갈릴수도 있겠지만 약간 아방하게 붕 뜨는 핏이 개인적으로 이뻐보여욧 색은 어두운 차콜색이라 검정 이너랑 입으면 조화로워요
125,ju** ,21.03.31,"입자마자 감탄했습니당 ㅋㅋ
후기들 말대로 약간 회색느낌난다는 베이지를 너무너무 기대하구 있었어요
배송 지연된다구 문자 받았는데 훨씬 빨리왔네요 기분 좋아요 ㅎㅅㅎ
1. 어깨 부분이 예쁘게 떨어져서 괜히 으쓱으쓱 거리는 내 모습 발견 가능. 뽕이 있는듯 없는듯 느낌
2. 두께도 봄 가을용인것처럼 얇아서 날씬해보이구
3. 주머니도 손 다 들어가서 좋구
4. 잔체크무늬가 진짜 도라방스 넘 예뿜. 색감은 실물갑 기대이상 !
5. 팔 길이도 적당해요 제 팔은 긴편이에요
6. 카라부분도 예뻐요 
7. 엉덩이 거의 다 가리는 길이감. 뒤도 트여있어서 좋음. 꼬리처럼 툭 튀어나오는것도 없음!
봄 자켓 사고싶어서 여기저기서 보다가 결국 맘에 드는거 못찾고 주문,취소를 반복하며 슬퍼하던 와중에 발견한 친구..
이런 자켓을 어떻게 만드신거죠.. 감사합니ㅏ다 정말..☆
후기를 이렇게 정성들여서 쓰는건 처음이네요 마니마니 사세요 여러분 ㅎㅎ 같은 옷 입고 마주치면 슬쩍 윙크해주세여 하하"
126,rl** ,21.03.24,"마르지도 뚱뚱하지도 않은 완벽한 통통한 체형입니다
골격이 크고 어깨는 많이 넓어서 옷고를때 정말 힘든데요ㅠ
이 옷은 진짜 레전드,,,
어깨 사이즈가 딱 맞아서 부각되보이지 않아서 너무 좋고
핏은 넉넉해서 슬림해보입니다ㅠㅠ
사진이 회색빛이 많이 돌게 나왔는데 
쇼핑몰 사진과 똑같게 보시면 될거같아요
통통족들 카몬!!!"
127,mi** ,21.03.14,"옷감을 눈으로볼때는 좀 도톰한 편인거같았는데 실제로는 좀 얇아서 따듯한 봄에 입어야해요!
그리고 제가 제일 좋아하는 색감에 쓰리버튼이라 좋았아요. 제 어깨가 40cm인데 m이 s보다 크다는 리뷰도 있었고 비슷한 제품을 로렌하이 오프라인매장에서 입어봤는데 엄청 고민하다 s시켰네요. 안에 후드티입고 자켓입는것도 고민을 했는데 좀 딱맞는 정도? 그렇다고 우락부락 해보일정도는 아니에요. 제가 운동해서 상체는 말랐는데 어깨만 있는편이라.. 딱하나 아쉬운점은 다른 분 리뷰에서도 봤다시피 어깨뽕을 정리해줘야하는게 좀 아쉬웠어요.. 조금 더 가격내고라도 뽕을 정리 안해도되게 바뀌었으면 좋겠네요! m을 선택안한 이유중 하나가 총장때문이기도 했는데.75는 좀 부담스러운 기장이라.. 제가 높은 신발을 신지않는이상 좀 짱딸막해보이더라구요ㅎ 그래도 너무 만족하는 제품이고 항상 자켓은 여기서만 사요! 제 체형에 잘맞고 원하는 색상이 많아서!! 참, 어깨 뽕도 과하지않아서 너무 좋습니다. 제가 어깨가 있는편이라 보통 뽕이 과한 제품은 못입고 빼거든요.. 제 체형같으신 분들은 잘 고려하셔서 알맞게 선택하시길!! :)
맨마지막 사진 잘 보시면 살짝 울퉁불퉁한데 그게 뽕을 잘 정리안했을때니까 잘 손보시면서 입으세요! 색감은 저거랑 같아여 갈색이랑 많이 섞인 따듯한 느낌! 전 실물보고 반해서 온라인으러 고민한다음 샀어요!"
128,d3** ,20.10.22,"제가 딱 원하는 오버핏 자켓 이네요 !!!
진짜 배송 오래 기다렸는데 ㅠㅠ 
기다린 보람 있네요 ~~
색깔도 어느 옷에나 잘 어울리고 이뻐요 
특히 슬랙스에 잘 어울려요 ㅎㅎ 
다만 팔이 길어서 접어서 입어야 하긴 하네요 
핏이 너무 이뻐서 
데일리템 될거같습니당 ☺️"
129,ty** ,20.04.17,"하,,말이필요없어요 챠콜색자켓이 너무 갖고싶었는데 특유의 패턴이라고해야하나 너무 예뻐서 겟했어요
입었을때 그 느낌이 포근하면서도 약간 시원한? 절대 무겁지안고 너무 좋아요 진짜 감사할정도,,예쁘게 잘입을게요 출근룩으로도 너무좋고 그냥 데이트고나발이고 그냥 다 어울리는 그런 자켓입니다ㅠㅠ
핏 낙낙하니 너무 좋아요 통통하신분들 걱정마세요 저 완전 통통인데 저렇게 핏이 좋아요ㅠㅠ"
